Qty,Value,Part Num,Package,Parts
5,,AO7400,SOT23,"Q4, Q5, Q6, Q7, Q12"
1,,RSL0J101MCN1GB,153CLV-0605,C25
1,"0.001,1%",ERJ-MP2MF1M0U,R1206,R26
13,0.1R,RL1220S-R10-F,R0805,"R3, R4, R7, R8, R9, R10, R11, R29, R30, R42, R138, R139, R149"
61,0.1uF,GRM155R71H104KE14J,C0402,"C1, C2, C4, C5, C6, C8, C10, C12, C13, C15, C16, C18, C19, C20, C21, C23, C24, C27, C28, C29, C30, C31, C32, C35, C38, C40, C44, C53, C54, C56, C60, C61, C63, C64, C66, C67, C69, C70, C72, C73, C74, C82, C83, C84, C85, C87, C99, C107, C108, C110, C114, C115, C133, C134, C138, C140, C141, C142, C150, C151, C155"
8,"1K,1%",RC0402FR-071KL,R0402,"R53, R106, R109, R110, R111, R153, R154, R155"
1,1M,RC0402JR-071ML,R0402,R150
6,2.2R,RC0402FR-072R2L,R0402,"R52, R59, R70, R71, R72, R126"
5,2.2uF,GRM155R61A225KE95D,C0402,"C34, C109, C111, C112, C113"
49,"4.7K,1%",RC0402FR-074K7L,R0402,"R5, R13, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24, R25, R28, R32, R33, R34, R36, R44, R46, R47, R48, R51, R54, R61, R62, R63, R64, R65, R66, R67, R68, R69, R74, R75, R76, R77, R89, R91, R92, R93, R112, R142, R143, R144, R145, R171, R172, R173"
5,4.7nF,CL05B472KA5NNNC,C0402,"C22, C57, C58, C59, C102"
10,4.7uF,GRM155R60J475ME47D,C0402,"C26, C33, C37, C45, C46, C55, C65, C68, C86, C103"
2,4P-2.0,1125S-4P,HW4-2.0,"J2, J3"
1,6 MHz,NX8045GB-6MHZ-STD-CSF-3,NX8045GB-6MHZ-STD-CSF-3,Y4
1,"10,1%",RC0402FR-0710RL,R0402,R83
40,"10K,1%",RC0402FR-0710KL,R0402,"R1, R2, R6, R27, R31, R35, R37, R38, R39, R40, R43, R50, R55, R56, R57, R58, R60, R73, R78, R81, R87, R88, R90, R94, R113, R121, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R140, R141, R152"
2,"10uF,3.3V",C0805C106K8PACTU,C0805,"C135, C143"
7,"10uF,35V",GMK325BJ106MN-T,C0805,"C41, C47, C89, C91, C92, C93, C100"
1,"12.1K, 1%",RC0402FR-0712K1L,R0402,R82
1,"13.3K,1%",RC0402FR-0713K3L,R0402,R22
8,"15K,1%",RC0402FR-0715KL,R0402,"R163, R164, R165, R166, R167, R168, R169, R170"
1,15uH,NRS8040T150MJGJ,NR8040T330,L1
7,18pF,GRM1555C1H180JA01D,C0402,"C36, C146, C147, C148, C149, C156, C157"
4,22-05-7028-02,640455-2,7395-02,"X4, X5, X6, X9"
9,22-05-7038-03,640455-3,7395-03,"X1, X7, X8, X10, X11, X13, X19, X22, X29"
7,22-05-7048-04,640455-4,7395-04,"X12, X14, X15, X16, X17, X18, X25"
8,"22R,1%",RC0402FR-0722RL,R0402,"R147, R148, R151, R156, R157, R158, R159, R160"
7,22nF,C1005X7R1E223K050BB,C0402,"C3, C7, C9, C11, C39, C88, C132"
4,22uF,CL31B106KAHNNNE,C1206,"C14, C17, C48, C80"
2,25MHz,445C33D25M00000,445C33D24M00000,"Y1, Y2"
2,"40.2K,1%",RC0402FR-0740K2L,R0402,"R41, R86"
1,"47k,NTC",NCP15WB473E03RC,R0402,R146
4,"49.9,1%",RC0402FR-0749R9L,R0402,"R122, R123, R124, R125"
3,74AHC1G126DCK,M74VHC1GT126DF1G,SC70-5,"IC1, IC6, IC7"
15,100,RC0402FR-07100RL,R0402,"R85, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R161, R162, R180, R181"
19,"100K,1%",RC0402FR-07100KL,R0402,"R12, R45, R84, R105, R107, R108, R114, R115, R116, R117, R118, R119, R120, R174, R175, R176, R177, R178, R179"
6,"100uF,35V,0.025R",RHS1V101MCN1GS,RHS1V10MCN1GS,"C42, C94, C95, C97, C98, C101"
2,"150OHM,800mA",MU2029-151Y,L2012C,"L2, L3"
2,470,RC0402JR-07470RL,R0402,"R79, R80"
1,470pF,CL05B471KB5NNNC,C0402,C136
1,499,RC0402FR-07499RL,R0402,R49
4,AON6758,SIRA34DP-T1-GE3,8-DFN-EP-(5X6),"Q1, Q2, Q3, Q8"
1,APX811SOT,*,SOT143-R,U12
1,CD4050BD,CD4050BDR,SOIC127P600X175-16N,U19
4,DMC2038LVT,DMC2038LVT-7,TSOT26,"Q10, Q11, Q13, Q14"
1,HDMI4,10029449-111RLF,HDMI-A-TH,X24
1,INA199A1DCKR,INA199A1DCKR,SOT65P210X110-6N,U13
1,LAN8710A,LAN8710A-EZC-TR,32-QFN,IC29
1,LPJ0011BBNL,LPJ0011BBNL,LPJ0011BBNL,U$3
5,MBRA340T3,MBRA340T3G,SMA,"D1, D2, D3, D4, D5"
1,MMBT2907,MMBT2907ALT3G,SOT23-BEC,Q9
4,MOUNTING_HOLE,*,MOUNTING_HOLE,"MGT1, MGT2, MGT3, MGT4"
3,MSTBA2,39532-1002,MSTBA2,"X3, X21, X26"
2,MSTBA4,39532-1004,MSTBA4,"X2, X20"
1,MTFC2GMDEA,MTFC2GMDEA-0M WT,WFBGA,IC30
1,OSD3358-512M-BSM,OSD3358-512M-BSM,OSD335X-BGA-256,U1
1,OSHW_LOGO_FILLX0200-NT,*,OSHW_FILLX200_NOTEXT,LOGO1
2,SISS27DN,SISS27DN-T1-GE3,POWERPAK-1212-8S,"U$11, U$17"
1,SN74AHC595PW,SN74AHC595PW,SOP65P640X120-16N,U11
3,TACT_SWITCH,*,DHT-1147,"U$19, U$20, U$21"
1,"TDA19988BHN/C1,557","TDA19988BHN/C1,518",SOT804-4,U$7
1,TLVH431,TLVH431IDBZR,SOT23-3,U7
5,TPD4S012_DRY_6_P1_P,TPD4S012DRYR,DRY6,"U4, U6, U8, U9, U10"
1,TPD12S016-RKT,TPD12S016PWR,R-PDSO-G24,U$18
1,TPS2061D,TPS2061D,SOIC127P600X175-8N,U3
1,TPS54202,TPS54202DDCR,SOT23,U$10
6,TRINAMIC_TMC2130_QFN36,TMC2130-LA-T,TRINAMIC_QFN36,"U$2, U$9, U$13, U$14, U$15, U$16"
1,TUSB2046BIRHBT,TUSB2046BIRHBT,QFN50P500X500X100-33N,U2
1,UA78L05ACD,UA78L12ACDR,SOIC127P600X175-8N,U5
2,USB-A,320010475,USB-A,"U$5, U$6"
1,USB-MICRO,ST-USB-001G-4,USB-MICRO,U$8
14,blue,19-217/BHC-ZL1M2RY/3T,CHIP-LED0603,"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13"
